class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,ParkScene,13,18,16,24.66600025366629,10.6,52.9,5.9,9.9,93.8,4,0,1,3,4,554,2,6,8.9,0.293,0,2,0,59,61,615,65,36.0,32.0,579.0
ClassB,ParkScene,all,18,16,69.79437377591033,55.2,78.2,42.4,52.7,98.1,10,5,2,3,15,710,11,20,51.0,0.181,1,10,0,780,791,1501,806,637.0,178.0,864.0
ClassB,ParkScene,0,18,32,89.1002413047066,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,11,76.7,0.155,1,7,0,436,444,566,446,319.0,133.0,247.0
ClassB,ParkScene,1,18,32,96.19937511674829,91.9,95.3,88.8,90.6,97.3,3,3,0,0,8,30,1,2,87.8,0.199,0,1,0,289,290,320,298,284.0,14.0,36.0
ClassB,ParkScene,13,18,32,30.825854876101193,10.7,48.1,6.0,10.7,89.2,4,0,1,3,8,549,6,9,8.5,0.278,0,6,0,60,66,615,74,37.0,40.0,578.0
ClassB,ParkScene,all,18,32,72.04182376585203,55.2,77.4,42.6,53.3,97.8,10,5,2,3,18,701,15,22,51.1,0.181,1,14,0,785,800,1501,818,640.0,187.0,861.0
ClassB,ParkScene,0,18,64,88.24143516096161,63.4,71.0,56.7,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.155,1,7,0,436,444,566,446,321.0,131.0,245.0
ClassB,ParkScene,1,18,64,95.87551944637056,92.2,95.9,88.8,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.197,0,1,0,288,289,320,296,284.0,12.0,36.0
ClassB,ParkScene,13,18,64,26.882556093969885,9.5,50.8,5.2,8.6,88.3,4,0,1,3,7,562,6,10,6.5,0.286,0,6,0,47,53,615,60,32.0,31.0,583.0
ClassB,ParkScene,all,18,64,70.33317023376736,55.3,78.5,42.4,52.4,98.0,10,5,2,3,16,715,15,24,50.3,0.179,1,14,0,771,786,1501,802,637.0,174.0,864.0
ClassB,ParkScene,0,22,8,88.74938700579149,63.5,71.2,56.7,78.3,99.6,3,2,1,0,2,123,9,13,76.3,0.156,1,8,0,434,443,566,445,321.0,130.0,245.0
ClassB,ParkScene,1,22,8,95.93159699443092,92.1,95.6,88.8,90.6,97.6,3,3,0,0,7,30,1,2,88.1,0.198,0,1,0,289,290,320,297,284.0,13.0,36.0
