seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,0.35,0.15,640,22.2,35.7,16.1,44.3,98.6,17,0,7,10,28,2422,67,97,42.1,0.181,12,56,1
ClassB_BasketballDrive_all,0.35,0.2,640,28.6,43.1,21.4,48.6,98.5,17,3,4,10,33,2233,57,82,46.5,0.183,8,50,1
ClassB_BasketballDrive_all,0.35,0.25,640,28.2,40.8,21.5,51.5,98.2,17,4,3,10,41,2106,55,80,49.3,0.185,9,46,0
ClassB_BasketballDrive_all,0.35,0.3,640,28.4,40.2,22.0,53.4,98.0,17,5,2,10,47,2023,53,75,51.1,0.185,10,43,0
ClassB_BasketballDrive_all,0.35,0.35,640,28.3,39.7,22.0,53.9,97.8,17,5,2,10,53,2001,52,73,51.5,0.185,9,43,0
ClassB_BasketballDrive_all,0.35,0.4,640,28.4,39.6,22.1,54.4,97.7,17,5,2,10,55,1980,50,71,52.0,0.188,9,41,0
ClassB_BasketballDrive_all,0.35,0.45,640,30.1,41.8,23.5,54.6,97.8,17,5,2,10,54,1971,49,71,52.3,0.188,8,41,0
ClassB_BasketballDrive_all,0.35,0.5,640,32.8,45.6,25.6,54.8,97.8,17,5,2,10,54,1964,50,72,52.4,0.188,7,43,0
ClassB_BasketballDrive_all,0.35,0.55,640,32.9,45.5,25.7,55.0,97.8,17,5,2,10,54,1955,51,71,52.6,0.188,8,44,1
ClassB_BasketballDrive_all,0.35,0.6,640,31.5,43.7,24.6,55.0,97.7,17,5,2,10,56,1956,51,72,52.5,0.188,6,46,1
ClassB_BasketballDrive_all,0.35,0.65,640,31.9,44.1,24.9,55.0,97.7,17,5,2,10,57,1954,52,73,52.5,0.188,8,45,1
ClassB_BasketballDrive_all,0.35,0.7,640,31.8,44.0,24.8,54.9,97.7,17,5,2,10,57,1960,58,75,52.2,0.188,9,49,1
ClassB_BasketballDrive_all,0.35,0.75,640,30.4,42.2,23.7,54.7,97.7,17,5,2,10,55,1969,64,78,51.9,0.187,9,55,1
ClassB_BasketballDrive_all,0.35,0.8,640,30.0,41.9,23.4,54.2,97.6,17,5,2,10,57,1988,72,84,51.3,0.186,9,62,1
ClassB_BasketballDrive_all,0.35,0.85,640,25.9,36.3,20.1,54.1,98.0,17,5,2,10,48,1993,74,87,51.3,0.187,9,65,1
