class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB,Kimono,0,26,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,26,64,1.6,100.0,0.8,0.8,100.0,1,0,0,1,0,121,0,0,0.8,0.069,0,0,0
ClassB,Kimono,all,26,64,47.2,59.7,39.0,65.2,100.0,2,1,0,1,0,126,1,1,64.9,0.141,0,1,0
ClassB,Kimono,0,30,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0
ClassB,Kimono,26,30,16,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,16,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.136,0,1,0
ClassB,Kimono,0,30,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,30,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,30,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,30,64,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,30,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,34,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0
ClassB,Kimono,26,34,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,122,0,0,-0.8,nan,0,0,0
ClassB,Kimono,all,34,16,46.8,59.3,38.7,64.9,99.6,2,1,0,1,1,127,1,1,64.4,0.139,0,1,0
ClassB,Kimono,0,34,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,34,32,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,34,32,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0
ClassB,Kimono,0,34,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.134,0,1,0
ClassB,Kimono,26,34,64,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0
ClassB,Kimono,all,34,64,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.134,0,1,0
ClassB,Kimono,0,38,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0
ClassB,Kimono,26,38,16,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,16,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.137,0,1,0
ClassB,Kimono,0,38,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.135,0,1,0
ClassB,Kimono,26,38,32,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,32,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.135,0,1,0
ClassB,Kimono,0,38,64,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.136,0,1,0
ClassB,Kimono,26,38,64,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0
ClassB,Kimono,all,38,64,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.136,0,1,0
ClassB,ParkScene,0,18,16,62.9,70.8,56.0,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.155,1,7,0
ClassB,ParkScene,1,18,16,91.8,95.0,88.8,90.6,97.0,3,3,0,0,9,30,1,2,87.5,0.198,0,1,0
ClassB,ParkScene,13,18,16,10.6,52.9,5.9,9.9,93.8,4,0,1,3,4,554,2,6,8.9,0.293,0,2,0
ClassB,ParkScene,all,18,16,55.2,78.2,42.4,52.7,98.1,10,5,2,3,15,710,11,20,51.0,0.181,1,10,0
ClassB,ParkScene,0,18,32,63.0,70.6,56.4,78.4,99.6,3,2,1,0,2,122,8,11,76.7,0.155,1,7,0
ClassB,ParkScene,1,18,32,91.9,95.3,88.8,90.6,97.3,3,3,0,0,8,30,1,2,87.8,0.199,0,1,0
ClassB,ParkScene,13,18,32,10.7,48.1,6.0,10.7,89.2,4,0,1,3,8,549,6,9,8.5,0.278,0,6,0
ClassB,ParkScene,all,18,32,55.2,77.4,42.6,53.3,97.8,10,5,2,3,18,701,15,22,51.1,0.181,1,14,0
ClassB,ParkScene,0,18,64,63.4,71.0,56.7,78.4,99.6,3,2,1,0,2,122,8,12,76.7,0.155,1,7,0
ClassB,ParkScene,1,18,64,92.2,95.9,88.8,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.197,0,1,0
ClassB,ParkScene,13,18,64,9.5,50.8,5.2,8.6,88.3,4,0,1,3,7,562,6,10,6.5,0.286,0,6,0
ClassB,ParkScene,all,18,64,55.3,78.5,42.4,52.4,98.0,10,5,2,3,16,715,15,24,50.3,0.179,1,14,0
ClassB,ParkScene,0,22,16,63.0,70.7,56.2,78.1,99.5,3,2,1,0,2,124,9,13,76.1,0.156,1,8,0
ClassB,ParkScene,1,22,16,91.7,95.6,88.1,89.7,97.3,3,3,0,0,8,33,1,2,86.9,0.196,0,1,0
ClassB,ParkScene,13,22,16,9.4,48.5,5.2,9.8,95.2,4,0,1,3,3,555,4,6,8.6,0.287,0,4,0
ClassB,ParkScene,all,22,16,54.9,77.9,42.1,52.6,98.4,10,5,2,3,13,712,14,21,50.8,0.180,1,13,0
ClassB,ParkScene,0,22,32,62.8,70.4,56.0,78.1,99.5,3,2,1,0,2,124,8,12,76.3,0.154,1,7,0
ClassB,ParkScene,1,22,32,91.4,94.9,88.1,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.198,0,1,0
