,class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
153,ClassB,ParkScene,1,22,8,92.1,95.6,88.8,90.6,97.6,3,3,0,0,7,30,1,2,88.1,0.198,0,1,0,289,290,320,297,284.0,13.0,36.0
154,ClassB,ParkScene,13,22,8,7.7,43.3,4.2,8.0,86.0,4,0,1,3,8,566,4,6,6.0,0.316,0,4,0,45,49,615,57,26.0,34.0,589.0
155,ClassB,ParkScene,all,22,8,54.9,78.1,42.0,52.1,97.9,10,5,2,3,17,719,14,21,50.0,0.181,1,13,0,768,782,1501,799,631.0,177.0,870.0
156,ClassB,ParkScene,0,22,16,63.0,70.7,56.2,78.1,99.5,3,2,1,0,2,124,9,13,76.1,0.156,1,8,0,433,442,566,444,318.0,132.0,248.0
157,ClassB,ParkScene,1,22,16,91.7,95.6,88.1,89.7,97.3,3,3,0,0,8,33,1,2,86.9,0.196,0,1,0,286,287,320,295,282.0,13.0,38.0
158,ClassB,ParkScene,13,22,16,9.4,48.5,5.2,9.8,95.2,4,0,1,3,3,555,4,6,8.6,0.287,0,4,0,56,60,615,63,32.0,34.0,583.0
159,ClassB,ParkScene,all,22,16,54.9,77.9,42.1,52.6,98.4,10,5,2,3,13,712,14,21,50.8,0.18,1,13,0,775,789,1501,802,632.0,179.0,869.0
152,ClassB,ParkScene,0,22,32,62.8,70.4,56.0,78.1,99.5,3,2,1,0,2,124,8,12,76.3,0.154,1,7,0,434,442,566,444,317.0,133.0,249.0
153,ClassB,ParkScene,1,22,32,91.4,94.9,88.1,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.198,0,1,0,287,288,320,297,282.0,15.0,38.0
154,ClassB,ParkScene,13,22,32,9.6,56.1,5.2,8.0,90.7,4,0,0,4,5,566,4,7,6.5,0.278,0,4,0,45,49,615,54,32.0,25.0,583.0
155,ClassB,ParkScene,all,22,32,55.0,78.5,42.0,51.9,98.0,10,5,1,4,16,722,13,21,50.0,0.178,1,12,0,766,779,1501,795,631.0,173.0,870.0
156,ClassB,ParkScene,0,22,64,63.1,71.0,56.2,77.7,99.5,3,2,1,0,2,126,8,12,76.0,0.156,1,7,0,432,440,566,442,318.0,130.0,248.0
157,ClassB,ParkScene,1,22,64,91.4,94.9,88.1,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.196,0,1,0,287,288,320,297,282.0,15.0,38.0
158,ClassB,ParkScene,13,22,64,9.2,51.7,5.0,8.1,87.7,4,0,1,3,7,565,3,8,6.5,0.294,0,3,0,47,50,615,57,31.0,29.0,584.0
159,ClassB,ParkScene,all,22,64,54.9,78.4,42.0,51.8,97.7,10,5,2,3,18,723,12,22,49.8,0.18,1,11,0,766,778,1501,796,631.0,174.0,870.0
160,ClassB,ParkScene,0,26,8,63.6,71.3,56.7,77.9,99.3,3,2,1,0,3,125,7,11,76.1,0.155,1,6,0,434,441,566,444,321.0,129.0,245.0
161,ClassB,ParkScene,1,26,8,91.6,95.3,88.1,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.198,0,1,0,288,289,320,296,282.0,14.0,38.0
162,ClassB,ParkScene,13,26,8,11.1,52.1,6.2,10.1,88.6,4,0,1,3,8,553,5,9,8.0,0.271,0,5,0,57,62,615,70,38.0,35.0,577.0
163,ClassB,ParkScene,all,26,8,55.5,78.3,42.7,52.8,97.8,10,5,2,3,18,709,13,22,50.7,0.18,1,12,0,779,792,1501,810,641.0,178.0,860.0
164,ClassB,ParkScene,0,26,16,63.7,72.6,56.2,76.0,99.5,3,2,1,0,2,136,6,10,74.6,0.154,1,5,0,424,430,566,432,318.0,120.0,248.0
165,ClassB,ParkScene,1,26,16,92.2,96.6,88.1,90.0,98.6,3,3,0,0,4,32,1,2,88.4,0.199,0,1,0,287,288,320,292,282.0,10.0,38.0
166,ClassB,ParkScene,13,26,16,9.2,52.5,5.0,8.3,91.1,4,0,1,3,5,564,5,8,6.7,0.3,0,5,0,46,51,615,56,31.0,28.0,584.0
167,ClassB,ParkScene,all,26,16,55.3,80.0,42.0,51.2,98.6,10,5,2,3,11,732,12,20,49.7,0.181,1,11,0,757,769,1501,780,631.0,158.0,870.0
160,ClassB,ParkScene,0,26,32,62.8,70.4,56.0,77.9,99.3,3,2,1,0,3,125,8,12,76.0,0.153,1,7,0,433,441,566,444,317.0,133.0,249.0
161,ClassB,ParkScene,1,26,32,91.6,95.0,88.4,90.3,97.0,3,3,0,0,9,31,1,2,87.2,0.199,0,1,0,288,289,320,298,283.0,15.0,37.0
162,ClassB,ParkScene,13,26,32,7.5,49.0,4.1,7.3,93.8,4,0,0,4,3,570,5,8,6.0,0.254,0,5,0,40,45,615,48,25.0,26.0,590.0
163,ClassB,ParkScene,all,26,32,54.6,78.2,41.6,51.6,98.1,10,5,1,4,15,726,14,22,49.7,0.176,1,13,0,761,775,1501,790,625.0,174.0,876.0
164,ClassB,ParkScene,0,26,64,63.2,71.1,56.2,77.6,99.5,3,2,1,0,2,127,6,10,76.1,0.154,1,5,0,433,439,566,441,318.0,129.0,248.0
165,ClassB,ParkScene,1,26,64,91.6,95.3,88.1,90.3,97.6,3,3,0,0,7,31,1,2,87.8,0.199,0,1,0,288,289,320,296,282.0,14.0,38.0
166,ClassB,ParkScene,13,26,64,4.6,34.1,2.4,6.2,92.7,4,0,0,4,3,577,9,10,4.2,0.281,0,9,0,29,38,615,41,15.0,29.0,600.0
167,ClassB,ParkScene,all,26,64,54.0,78.1,41.0,51.0,98.5,10,5,1,4,12,735,16,22,49.2,0.177,1,15,0,750,766,1501,778,615.0,172.0,886.0
168,ClassB,ParkScene,0,30,8,63.2,72.1,55.7,75.8,99.5,3,2,1,0,2,137,6,12,74.4,0.156,1,5,0,423,429,566,431,315.0,122.0,251.0
169,ClassB,ParkScene,1,30,8,91.1,94.0,88.4,91.2,97.0,3,3,0,0,9,28,1,2,88.1,0.199,0,1,0,291,292,320,301,283.0,18.0,37.0
170,ClassB,ParkScene,13,30,8,6.7,52.4,3.6,5.4,84.6,4,0,0,4,6,582,4,6,3.7,0.299,0,4,0,29,33,615,39,22.0,20.0,593.0
171,ClassB,ParkScene,all,30,8,54.6,79.5,41.3,50.2,97.8,10,5,1,4,17,747,11,20,48.4,0.179,1,10,0,743,754,1501,771,620.0,160.0,881.0
172,ClassB,ParkScene,0,30,16,62.8,70.4,56.2,78.3,99.3,3,2,1,0,3,123,7,11,76.5,0.156,1,6,0,436,443,566,446,318.0,134.0,248.0
173,ClassB,ParkScene,1,30,16,91.0,95.5,86.9,89.1,97.9,3,3,0,0,6,35,1,4,86.9,0.2,0,1,0,284,285,320,291,278.0,13.0,42.0
174,ClassB,ParkScene,13,30,16,7.1,69.7,3.7,4.2,86.7,4,0,0,4,4,589,2,3,3.3,0.261,0,2,0,24,26,615,30,23.0,10.0,592.0
175,ClassB,ParkScene,all,30,16,54.6,79.8,41.2,50.2,98.3,10,5,1,4,13,747,10,18,48.7,0.176,1,9,0,744,754,1501,767,619.0,157.0,882.0
168,ClassB,ParkScene,0,30,32,63.4,71.5,56.4,77.4,99.5,3,2,1,0,2,128,7,11,75.8,0.158,1,6,0,431,438,566,440,319.0,127.0,247.0
169,ClassB,ParkScene,1,30,32,91.7,95.3,88.4,90.0,97.0,3,3,0,0,9,32,1,2,86.9,0.2,0,1,0,287,288,320,297,283.0,14.0,37.0
170,ClassB,ParkScene,13,30,32,9.7,65.3,5.2,7.5,100.0,4,0,1,3,0,569,1,2,7.3,0.242,0,1,0,45,46,615,46,32.0,17.0,583.0
171,ClassB,ParkScene,all,30,32,55.5,80.1,42.2,51.4,98.6,10,5,2,3,11,729,9,15,50.1,0.178,1,8,0,763,772,1501,783,634.0,158.0,867.0
172,ClassB,ParkScene,0,30,64,64.1,72.6,56.7,76.7,99.5,3,2,1,0,2,132,7,11,75.1,0.157,1,6,0,427,434,566,436,321.0,121.0,245.0
173,ClassB,ParkScene,1,30,64,92.2,95.9,88.8,90.6,98.0,3,3,0,0,6,30,1,2,88.4,0.198,0,1,0,289,290,320,296,284.0,12.0,36.0
174,ClassB,ParkScene,13,30,64,6.4,51.2,3.4,5.4,86.8,4,0,0,4,5,582,3,6,4.1,0.268,0,3,0,30,33,615,38,21.0,20.0,594.0
175,ClassB,ParkScene,all,30,64,55.1,80.4,41.7,50.4,98.3,10,5,1,4,13,744,11,19,48.8,0.178,1,10,0,746,757,1501,770,626.0,153.0,875.0
176,ClassB,ParkScene,0,34,8,63.2,71.6,56.0,76.9,99.5,3,2,1,0,2,131,6,10,75.4,0.157,1,5,0,429,435,566,437,317.0,126.0,249.0
177,ClassB,ParkScene,1,34,8,92.2,96.3,88.4,90.0,98.0,3,3,0,0,6,32,1,2,87.8,0.199,0,1,0,287,288,320,294,283.0,11.0,37.0
178,ClassB,ParkScene,13,34,8,6.5,61.8,3.4,4.9,96.8,4,0,0,4,1,585,2,3,4.4,0.274,0,2,0,28,30,615,31,21.0,13.0,594.0
179,ClassB,ParkScene,all,34,8,54.9,80.5,41.4,50.2,98.8,10,5,1,4,9,748,9,15,49.0,0.178,1,8,0,744,753,1501,762,621.0,150.0,880.0
180,ClassB,ParkScene,0,34,16,63.0,71.6,55.7,76.1,99.3,3,2,1,0,3,135,7,11,74.4,0.156,1,6,0,424,431,566,434,315.0,125.0,251.0
181,ClassB,ParkScene,1,34,16,91.2,94.9,87.8,90.0,97.3,3,3,0,0,8,32,1,3,87.2,0.196,0,1,0,287,288,320,296,281.0,15.0,39.0
182,ClassB,ParkScene,13,34,16,3.2,90.9,1.6,1.3,100.0,4,0,0,4,0,607,1,1,1.1,0.184,0,1,0,7,8,615,8,10.0,1.0,605.0
183,ClassB,ParkScene,all,34,16,54.1,81.1,40.4,48.4,98.5,10,5,1,4,11,774,9,15,47.1,0.172,1,8,0,718,727,1501,738,606.0,141.0,895.0
176,ClassB,ParkScene,0,34,32,64.1,72.6,56.7,76.5,99.3,3,2,1,0,3,133,7,11,74.7,0.156,1,6,0,426,433,566,436,321.0,121.0,245.0
177,ClassB,ParkScene,1,34,32,91.4,94.6,88.4,90.6,97.0,3,3,0,0,9,30,1,3,87.5,0.2,0,1,0,289,290,320,299,283.0,16.0,37.0
178,ClassB,ParkScene,13,34,32,6.2,58.8,3.3,5.0,100.0,4,0,0,4,0,584,2,4,4.7,0.278,0,2,0,29,31,615,31,20.0,14.0,595.0
179,ClassB,ParkScene,all,34,32,51.5,75.6,38.8,50.0,98.4,10,5,1,4,12,751,11,19,48.4,0.178,1,10,0,739,750,1501,762,583.0,188.0,918.0
180,ClassB,ParkScene,0,34,64,63.1,71.5,55.8,76.5,99.3,3,2,1,0,3,133,7,12,74.7,0.158,1,6,0,426,433,566,436,316.0,126.0,250.0
181,ClassB,ParkScene,1,34,64,91.6,95.3,88.1,90.0,97.3,3,3,0,0,8,32,1,2,87.2,0.197,0,1,0,287,288,320,296,282.0,14.0,38.0
182,ClassB,ParkScene,13,34,64,5.0,59.3,2.6,3.7,95.8,4,0,0,4,1,592,2,3,3.3,0.263,0,2,0,21,23,615,24,16.0,11.0,599.0
183,ClassB,ParkScene,all,34,64,49.8,73.7,37.4,49.3,98.4,10,5,1,4,12,761,11,18,47.8,0.176,1,10,0,729,740,1501,752,561.0,200.0,940.0
184,ClassB,ParkScene,0,38,8,63.9,75.3,54.9,71.4,99.3,3,2,1,0,3,162,5,9,70.0,0.156,1,4,0,399,404,566,407,311.0,102.0,255.0
185,ClassB,ParkScene,1,38,8,90.5,94.9,86.6,88.8,97.3,3,2,1,0,8,36,1,2,85.9,0.197,0,1,0,283,284,320,292,277.0,15.0,43.0
186,ClassB,ParkScene,13,38,8,3.2,90.9,1.6,1.1,87.5,4,0,0,4,1,608,0,0,1.0,0.179,0,0,0,7,7,615,8,10.0,1.0,605.0
187,ClassB,ParkScene,all,38,8,49.6,76.8,36.4,46.0,98.3,10,4,2,4,12,810,7,12,44.8,0.173,1,6,0,684,691,1501,703,547.0,165.0,954.0
188,ClassB,ParkScene,0,38,16,63.8,75.6,54.6,70.7,99.3,3,2,1,0,3,166,5,9,69.3,0.154,1,4,0,395,400,566,403,309.0,100.0,257.0
189,ClassB,ParkScene,1,38,16,90.9,94.9,87.2,89.1,96.9,3,3,0,0,9,35,1,2,85.9,0.199,0,1,0,284,285,320,294,279.0,15.0,41.0
190,ClassB,ParkScene,13,38,16,5.7,100.0,2.9,2.4,100.0,4,0,0,4,0,600,0,0,2.4,0.261,0,0,0,15,15,615,15,18.0,0.0,597.0
191,ClassB,ParkScene,all,38,16,51.7,79.7,38.0,46.3,98.3,10,5,1,4,12,806,7,12,45.0,0.174,1,6,0,688,695,1501,707,571.0,145.0,930.0
184,ClassB,ParkScene,0,38,32,63.3,74.3,54.6,71.9,99.3,3,2,1,0,3,159,6,10,70.3,0.156,1,5,0,401,407,566,410,309.0,107.0,257.0
185,ClassB,ParkScene,1,38,32,91.7,95.6,88.1,90.0,97.6,3,3,0,0,7,32,1,2,87.5,0.2,0,1,0,287,288,320,295,282.0,13.0,38.0
186,ClassB,ParkScene,13,38,32,4.1,59.1,2.1,3.1,100.0,4,0,0,4,0,596,1,1,2.9,0.237,0,1,0,18,19,615,19,13.0,9.0,602.0
187,ClassB,ParkScene,all,38,32,54.3,82.4,40.2,47.6,98.6,10,5,1,4,10,787,8,13,46.4,0.176,1,7,0,706,714,1501,724,604.0,129.0,897.0
188,ClassB,ParkScene,0,38,64,61.7,70.6,54.2,75.4,99.5,3,2,1,0,2,139,7,11,73.9,0.164,1,6,0,420,427,566,429,307.0,128.0,259.0
189,ClassB,ParkScene,1,38,64,92.2,96.3,88.4,89.7,97.6,3,3,0,0,7,33,1,2,87.2,0.199,0,1,0,286,287,320,294,283.0,11.0,37.0
190,ClassB,ParkScene,13,38,64,4.4,56.0,2.3,3.1,86.4,4,0,0,4,3,596,2,3,2.3,0.222,0,2,0,17,19,615,22,14.0,11.0,601.0
191,ClassB,ParkScene,all,38,64,53.8,80.1,40.2,48.8,98.4,10,5,1,4,12,768,10,16,47.4,0.179,1,9,0,723,733,1501,745,604.0,150.0,897.0
192,ClassB,ParkScene,0,42,8,61.0,74.8,50.9,66.6,99.5,3,2,1,0,2,189,5,10,65.4,0.17,1,4,0,372,377,566,379,288.0,97.0,278.0
193,ClassB,ParkScene,1,42,8,90.3,97.5,84.1,84.7,98.2,3,2,1,0,5,49,1,3,82.8,0.195,0,1,0,270,271,320,276,269.0,7.0,51.0
194,ClassB,ParkScene,13,42,8,1.0,100.0,0.5,0.0,,4,0,0,4,0,615,0,0,0.0,,0,0,0,0,0,615,0,3.0,0.0,612.0
195,ClassB,ParkScene,all,42,8,51.6,84.2,37.0,42.8,98.9,10,3,3,4,7,858,6,14,42.0,0.18,1,5,0,637,643,1501,650,555.0,104.0,946.0
196,ClassB,ParkScene,0,42,16,64.2,75.7,55.1,71.2,99.3,3,2,1,0,3,163,5,9,69.8,0.163,1,4,0,398,403,566,406,312.0,100.0,254.0
197,ClassB,ParkScene,1,42,16,91.7,97.9,86.2,86.2,97.9,3,2,1,0,6,44,0,0,84.4,0.198,0,0,0,276,276,320,282,276.0,6.0,44.0
198,ClassB,ParkScene,13,42,16,2.9,100.0,1.5,1.0,100.0,4,0,0,4,0,609,0,0,1.0,0.234,0,0,0,6,6,615,6,9.0,0.0,606.0
199,ClassB,ParkScene,all,42,16,54.3,84.9,39.7,45.6,98.7,10,4,2,4,9,817,5,9,44.6,0.178,1,4,0,679,684,1501,693,596.0,106.0,905.0
192,ClassB,ParkScene,0,42,32,63.2,75.9,53.5,69.3,99.7,3,2,1,0,1,174,5,10,68.2,0.169,1,4,0,387,392,566,393,303.0,96.0,263.0
193,ClassB,ParkScene,1,42,32,90.3,97.5,84.1,84.1,97.5,3,2,1,0,7,51,0,1,81.9,0.194,0,0,0,269,269,320,276,269.0,7.0,51.0
194,ClassB,ParkScene,13,42,32,2.6,100.0,1.3,0.8,100.0,4,0,0,4,0,610,0,0,0.8,0.281,0,0,0,5,5,615,5,8.0,0.0,607.0
195,ClassB,ParkScene,all,42,32,53.3,84.9,38.6,44.4,98.8,10,4,2,4,8,835,5,11,43.5,0.18,1,4,0,661,666,1501,674,580.0,103.0,921.0
196,ClassB,ParkScene,0,42,64,62.8,75.8,53.0,68.6,99.5,3,2,1,0,2,178,6,10,67.1,0.162,1,5,0,382,388,566,390,300.0,96.0,266.0
197,ClassB,ParkScene,1,42,64,91.7,97.2,86.9,86.9,97.2,3,3,0,0,8,42,0,1,84.4,0.197,0,0,0,278,278,320,286,278.0,8.0,42.0
198,ClassB,ParkScene,13,42,64,3.5,84.6,1.8,1.3,80.0,4,0,0,4,2,607,0,0,1.0,0.222,0,0,0,8,8,615,10,11.0,2.0,604.0
199,ClassB,ParkScene,all,42,64,53.9,84.7,39.2,44.9,98.3,10,5,1,4,12,827,6,11,43.7,0.177,1,5,0,668,674,1501,686,589.0,106.0,912.0
200,ClassB,ParkScene,0,46,8,54.3,72.5,42.9,56.9,97.9,3,0,3,0,7,244,7,15,54.4,0.179,1,6,0,315,322,566,329,243.0,92.0,323.0
201,ClassB,ParkScene,1,46,8,80.7,89.1,73.8,81.6,98.5,3,2,1,0,4,59,1,1,80.0,0.21,0,1,0,260,261,320,265,236.0,29.0,84.0
202,ClassB,ParkScene,13,46,8,1.3,100.0,0.7,0.2,100.0,4,0,0,4,0,614,0,0,0.2,0.248,0,0,0,1,1,615,1,4.0,0.0,611.0
203,ClassB,ParkScene,all,46,8,46.1,80.0,32.2,38.9,98.2,10,2,4,4,11,917,8,16,37.6,0.193,1,7,0,576,584,1501,595,483.0,121.0,1018.0
204,ClassB,ParkScene,0,46,16,64.4,86.0,50.9,56.9,97.9,3,0,3,0,7,244,5,11,54.8,0.17,1,4,0,317,322,566,329,288.0,47.0,278.0
205,ClassB,ParkScene,1,46,16,76.8,87.9,68.1,76.9,99.2,3,1,2,0,2,74,3,3,75.3,0.209,0,3,0,243,246,320,248,218.0,30.0,102.0
206,ClassB,ParkScene,13,46,16,3.8,80.0,2.0,1.5,75.0,4,0,0,4,3,606,0,2,1.0,0.316,0,0,0,9,9,615,12,12.0,3.0,603.0
207,ClassB,ParkScene,all,46,16,49.6,86.6,34.5,38.4,98.0,10,1,5,4,12,924,8,16,37.1,0.189,1,7,0,569,577,1501,589,518.0,80.0,983.0
200,ClassB,ParkScene,0,46,32,65.7,88.3,51.8,57.1,99.1,3,0,3,0,3,243,8,11,55.1,0.169,1,7,0,315,323,566,326,293.0,39.0,273.0
201,ClassB,ParkScene,1,46,32,73.2,82.7,65.6,78.1,98.4,3,1,2,0,4,70,1,6,76.6,0.214,0,1,0,249,250,320,254,210.0,44.0,110.0
202,ClassB,ParkScene,13,46,32,1.0,100.0,0.5,0.0,,4,0,0,4,0,615,0,0,0.0,,0,0,0,0,0,615,0,3.0,0.0,612.0
203,ClassB,ParkScene,all,46,32,48.6,85.9,33.7,38.1,98.6,10,1,5,4,8,929,9,17,37.0,0.188,1,8,0,563,572,1501,580,506.0,83.0,995.0
204,ClassB,ParkScene,0,46,64,64.8,82.8,52.7,61.1,97.7,3,0,3,0,8,220,7,10,58.5,0.18,1,6,0,339,346,566,354,298.0,62.0,268.0
205,ClassB,ParkScene,1,46,64,87.3,98.1,78.8,78.8,98.1,3,1,2,0,5,68,0,4,77.2,0.201,0,0,0,252,252,320,257,252.0,5.0,68.0
206,ClassB,ParkScene,13,46,64,1.0,100.0,0.5,0.0,,4,0,0,4,0,615,0,0,0.0,,0,0,0,0,0,615,0,3.0,0.0,612.0
207,ClassB,ParkScene,all,46,64,52.4,89.2,36.8,39.8,97.9,10,1,5,4,13,903,7,14,38.5,0.188,1,6,0,591,598,1501,611,553.0,67.0,948.0
208,ClassC,BasketballDrill,0,18,8,35.2,39.7,31.5,77.7,98.1,6,3,3,0,39,564,38,62,74.6,0.207,1,37,0,1925,1963,2527,2002,796.0,1209.0,1731.0
209,ClassC,BasketballDrill,32,18,8,2.7,5.4,1.8,20.6,62.0,2,0,1,1,126,792,21,23,5.9,0.154,0,21,0,185,206,998,332,18.0,314.0,980.0
210,ClassC,BasketballDrill,56,18,8,0.4,75.0,0.2,0.0,0.0,3,0,0,3,1,1500,0,0,-0.1,,0,0,0,0,0,1500,1,3.0,1.0,1497.0
211,ClassC,BasketballDrill,all,18,8,22.2,34.9,16.3,43.2,92.9,11,3,4,4,166,2856,59,85,38.7,0.202,1,58,0,2110,2169,5025,2335,817.0,1524.0,4208.0
212,ClassC,BasketballDrill,0,18,16,35.0,39.4,31.4,78.1,98.1,6,3,3,0,38,553,36,57,75.2,0.206,1,35,0,1938,1974,2527,2012,794.0,1221.0,1733.0
213,ClassC,BasketballDrill,32,18,16,2.8,5.6,1.9,20.4,60.2,2,0,1,1,135,794,20,22,4.9,0.155,0,20,0,184,204,998,339,19.0,320.0,979.0
214,ClassC,BasketballDrill,56,18,16,0.4,75.0,0.2,0.0,0.0,3,0,0,3,1,1500,0,0,-0.1,,0,0,0,0,0,1500,1,3.0,1.0,1497.0
215,ClassC,BasketballDrill,all,18,16,22.1,34.6,16.2,43.3,92.6,11,3,4,4,174,2847,56,79,38.8,0.201,1,55,0,2122,2178,5025,2352,816.0,1542.0,4209.0
208,ClassC,BasketballDrill,0,18,32,34.8,39.4,31.1,77.4,98.3,6,3,3,0,34,570,40,60,74.5,0.206,1,39,0,1917,1957,2527,1991,786.0,1208.0,1741.0
209,ClassC,BasketballDrill,32,18,32,3.1,6.6,2.0,20.8,69.1,2,0,1,1,93,790,20,22,9.5,0.158,0,20,0,188,208,998,301,20.0,281.0,978.0
210,ClassC,BasketballDrill,56,18,32,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
211,ClassC,BasketballDrill,all,18,32,22.1,35.2,16.1,43.1,94.5,11,3,4,4,127,2860,60,82,39.4,0.202,1,59,0,2105,2165,5025,2292,809.0,1489.0,4216.0
212,ClassC,BasketballDrill,0,18,64,34.7,39.2,31.1,77.8,98.2,6,3,3,0,36,562,37,58,74.9,0.206,1,36,0,1928,1965,2527,2001,786.0,1218.0,1741.0
213,ClassC,BasketballDrill,32,18,64,3.0,6.0,2.0,20.3,60.6,2,0,1,1,132,795,20,23,5.1,0.155,0,20,0,183,203,998,335,20.0,315.0,978.0
214,ClassC,BasketballDrill,56,18,64,0.4,50.0,0.2,0.0,0.0,3,0,0,3,3,1500,0,0,-0.2,,0,0,0,0,0,1500,3,3.0,3.0,1497.0
215,ClassC,BasketballDrill,all,18,64,22.0,34.5,16.1,43.1,92.7,11,3,4,4,171,2857,57,81,38.6,0.201,1,56,0,2111,2168,5025,2339,809.0,1536.0,4216.0
216,ClassC,BasketballDrill,0,22,8,32.4,36.8,28.9,77.1,98.3,6,3,3,0,33,579,42,60,74.1,0.205,1,41,0,1906,1948,2527,1981,731.0,1253.0,1796.0
217,ClassC,BasketballDrill,32,22,8,3.0,6.3,2.0,18.1,57.3,2,0,1,1,135,817,20,23,2.6,0.153,0,20,0,161,181,998,316,20.0,296.0,978.0
218,ClassC,BasketballDrill,56,22,8,0.4,60.0,0.2,0.0,0.0,3,0,0,3,2,1500,0,0,-0.1,,0,0,0,0,0,1500,2,3.0,2.0,1497.0
219,ClassC,BasketballDrill,all,22,8,20.6,32.7,15.0,42.4,92.6,11,3,4,4,170,2894,61,83,37.8,0.2,1,60,0,2070,2131,5025,2301,754.0,1553.0,4271.0
220,ClassC,BasketballDrill,0,22,16,30.4,34.9,26.9,75.7,98.2,6,3,3,0,36,613,43,67,72.6,0.209,2,41,0,1871,1914,2527,1950,681.0,1272.0,1846.0
221,ClassC,BasketballDrill,32,22,16,2.3,3.8,1.6,18.1,43.2,2,0,1,1,238,817,19,22,-7.6,0.152,0,19,0,162,181,998,419,16.0,403.0,982.0
222,ClassC,BasketballDrill,56,22,16,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
223,ClassC,BasketballDrill,all,22,16,18.9,29.5,13.9,41.7,88.4,11,3,4,4,274,2930,62,89,35.0,0.204,2,60,0,2033,2095,5025,2369,700.0,1675.0,4325.0
216,ClassC,BasketballDrill,0,22,32,30.4,34.8,27.0,76.1,98.1,6,3,3,0,37,603,41,62,73.1,0.205,1,40,0,1883,1924,2527,1961,683.0,1281.0,1844.0
217,ClassC,BasketballDrill,32,22,32,3.0,6.2,2.0,18.6,58.1,2,0,1,1,134,812,18,20,3.4,0.155,0,18,0,168,186,998,320,20.0,300.0,978.0
218,ClassC,BasketballDrill,56,22,32,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
219,ClassC,BasketballDrill,all,22,32,19.3,30.9,14.0,42.0,92.5,11,3,4,4,171,2915,59,82,37.4,0.201,1,58,0,2051,2110,5025,2281,706.0,1581.0,4319.0
220,ClassC,BasketballDrill,0,22,64,30.4,34.7,27.0,76.4,98.3,6,3,3,0,34,596,42,64,73.4,0.206,1,41,0,1889,1931,2527,1965,682.0,1286.0,1845.0
221,ClassC,BasketballDrill,32,22,64,2.5,5.2,1.6,17.6,57.7,2,0,1,1,129,822,20,23,2.7,0.148,0,20,0,156,176,998,305,16.0,289.0,982.0
222,ClassC,BasketballDrill,56,22,64,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
223,ClassC,BasketballDrill,all,22,64,19.2,30.8,14.0,41.9,92.8,11,3,4,4,163,2919,62,87,37.4,0.201,1,61,0,2044,2106,5025,2269,701.0,1574.0,4324.0
224,ClassC,BasketballDrill,0,26,8,31.2,36.0,27.5,75.3,98.4,6,3,3,0,30,625,42,65,72.4,0.207,1,41,0,1860,1902,2527,1932,696.0,1239.0,1831.0
225,ClassC,BasketballDrill,32,26,8,2.6,6.7,1.6,16.7,70.2,2,0,1,1,71,831,20,23,7.6,0.152,0,20,0,147,167,998,238,16.0,222.0,982.0
226,ClassC,BasketballDrill,56,26,8,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
227,ClassC,BasketballDrill,all,26,8,19.9,32.8,14.2,41.2,95.3,11,3,4,4,102,2954,63,89,37.9,0.202,1,62,0,2008,2071,5025,2173,715.0,1464.0,4310.0
228,ClassC,BasketballDrill,0,26,16,31.8,37.0,27.8,73.8,98.4,6,3,3,0,30,663,43,66,70.9,0.207,0,43,0,1821,1864,2527,1894,702.0,1195.0,1825.0
229,ClassC,BasketballDrill,32,26,16,2.9,7.5,1.8,15.7,65.1,2,0,1,1,84,841,21,21,5.2,0.144,0,21,0,136,157,998,241,18.0,223.0,980.0
230,ClassC,BasketballDrill,56,26,16,0.4,100.0,0.2,0.0,,3,0,0,3,0,1500,0,0,0.0,,0,0,0,0,0,1500,0,3.0,0.0,1497.0
231,ClassC,BasketballDrill,all,26,16,20.2,33.8,14.4,40.2,94.7,11,3,4,4,114,3004,63,86,36.7,0.202,0,63,0,1958,2021,5025,2135,723.0,1418.0,4302.0
224,ClassC,BasketballDrill,0,26,32,31.6,36.8,27.7,73.8,98.2,6,3,3,0,35,663,44,70,70.6,0.208,2,42,0,1820,1864,2527,1899,699.0,1203.0,1828.0
225,ClassC,BasketballDrill,32,26,32,2.5,5.7,1.6,16.1,57.3,2,0,1,1,120,837,18,20,2.3,0.155,0,18,0,143,161,998,281,16.0,265.0,982.0
